Species,Latitude,meanLH,d13C,x,yb,yc
Prionace glauca,28.344,-19.86520349,-17.492,3146.184,-19.86520349,-17.492
Prionace glauca,28.344,-19.86520349,-17.308,3146.184,-19.86520349,-17.308
Prionace glauca,28.344,-19.86520349,-17.491,3146.184,-19.86520349,-17.491
Prionace glauca,28.344,-19.86520349,-17.84,3146.184,-19.86520349,-17.84
Prionace glauca,28.344,-19.86520349,-17.424,3146.184,-19.86520349,-17.424
Prionace glauca,24.564,-19.86520349,-16.991,2726.604,-19.86520349,-16.991
Prionace glauca,24.564,-19.86520349,-16.968,2726.604,-19.86520349,-16.968
Prionace glauca,24.564,-19.86520349,-17.607,2726.604,-19.86520349,-17.607
Prionace glauca,24.564,-19.86520349,-17.72,2726.604,-19.86520349,-17.72
Prionace glauca,24.564,-19.86520349,-17.312,2726.604,-19.86520349,-17.312
Prionace glauca,24.564,-19.86520349,-17.246,2726.604,-19.86520349,-17.246
Prionace glauca,24.564,-19.86520349,-17.347,2726.604,-19.86520349,-17.347
Prionace glauca,24.564,-19.86520349,-16.78,2726.604,-19.86520349,-16.78
Prionace glauca,24.564,-19.86520349,-17.219,2726.604,-19.86520349,-17.219
Prionace glauca,24.564,-19.86520349,-15.836,2726.604,-19.86520349,-15.836
Prionace glauca,9,-16.64966802,-19.25459439,999,-16.64966802,-19.25459439
Prionace glauca,9,-16.64966802,-19.27299813,999,-16.64966802,-19.27299813
Prionace glauca,9,-16.64966802,-18.41035884,999,-16.64966802,-18.41035884
Prionace glauca,9,-16.64966802,-18.09560302,999,-16.64966802,-18.09560302
Prionace glauca,9,-16.64966802,-19.03656367,999,-16.64966802,-19.03656367
Prionace glauca,9,-16.64966802,-18.96355889,999,-16.64966802,-18.96355889
Prionace glauca,9,-16.64966802,-19.3135717,999,-16.64966802,-19.3135717
Prionace glauca,9,-16.64966802,-17.20509857,999,-16.64966802,-17.20509857
Prionace glauca,9,-16.64966802,-19.20297444,999,-16.64966802,-19.20297444
Prionace glauca,9,-16.64966802,-18.57859438,999,-16.64966802,-18.57859438
Prionace glauca,9,-16.64966802,-18.75236783,999,-16.64966802,-18.75236783
Prionace glauca,9,-16.64966802,-16.82628745,999,-16.64966802,-16.82628745
Prionace glauca,9,-16.64966802,-18.45623481,999,-16.64966802,-18.45623481
Prionace glauca,9,-16.64966802,-18.538794,999,-16.64966802,-18.538794
Prionace glauca,9,-16.64966802,-17.79026455,999,-16.64966802,-17.79026455
Prionace glauca,9,-16.64966802,-17.59121156,999,-16.64966802,-17.59121156
Prionace glauca,9,-16.64966802,-18.2439796,999,-16.64966802,-18.2439796
Prionace glauca,9,-16.64966802,-18.20267639,999,-16.64966802,-18.20267639
Prionace glauca,9,-16.64966802,-18.92479131,999,-16.64966802,-18.92479131
Prionace glauca,9,-16.64966802,-17.72774515,999,-16.64966802,-17.72774515
Prionace glauca,9,-16.64966802,-16.65934155,999,-16.64966802,-16.65934155
Prionace glauca,9,-16.64966802,-17.80171711,999,-16.64966802,-17.80171711
Prionace glauca,9,-16.64966802,-17.62831746,999,-16.64966802,-17.62831746
Prionace glauca,9,-16.64966802,-17.90255916,999,-16.64966802,-17.90255916
Prionace glauca,9,-16.64966802,-16.72994234,999,-16.64966802,-16.72994234
Prionace glauca,9,-16.64966802,-17.55667864,999,-16.64966802,-17.55667864
Prionace glauca,9,-16.64966802,-18.2782766,999,-16.64966802,-18.2782766
Prionace glauca,9,-16.64966802,-16.35733653,999,-16.64966802,-16.35733653
Prionace glauca,7,-16.64966802,-19.026,777,-16.64966802,-19.026
Prionace glauca,7,-16.64966802,-18.723,777,-16.64966802,-18.723
Prionace glauca,7,-16.64966802,-17.753,777,-16.64966802,-17.753
Prionace glauca,7,-16.64966802,-18.978,777,-16.64966802,-18.978
Prionace glauca,7,-16.64966802,-17.659,777,-16.64966802,-17.659
Prionace glauca,7,-16.64966802,-18.001,777,-16.64966802,-18.001
Prionace glauca,7,-16.64966802,-18.688,777,-16.64966802,-18.688
Prionace glauca,7,-16.64966802,-18.373,777,-16.64966802,-18.373
Prionace glauca,7,-16.64966802,-16.884,777,-16.64966802,-16.884
Prionace glauca,7,-16.64966802,-18.859,777,-16.64966802,-18.859
Prionace glauca,7,-16.64966802,-18.611,777,-16.64966802,-18.611
Prionace glauca,7,-16.64966802,-17.842,777,-16.64966802,-17.842
Prionace glauca,7,-16.64966802,-18.162,777,-16.64966802,-18.162
Prionace glauca,7,-16.64966802,-18.575,777,-16.64966802,-18.575
Prionace glauca,7,-16.64966802,-18.615,777,-16.64966802,-18.615
Prionace glauca,7,-16.64966802,-18.184,777,-16.64966802,-18.184
Prionace glauca,7,-16.64966802,-18.369,777,-16.64966802,-18.369
Prionace glauca,7,-16.64966802,-18.305,777,-16.64966802,-18.305
